HomeTeam,AwayTeam,FTHG,FTAG,FTR
Man United,Leicester,2,1,H
Bournemouth,Cardiff,2,0,H
Fulham,Crystal Palace,0,2,A
Huddersfield,Chelsea,0,3,A
Newcastle,Tottenham,1,2,A
Watford,Brighton,2,0,H
Wolves,Everton,2,2,D
Arsenal,Man City,0,2,A
Liverpool,West Ham,4,0,H
Southampton,Burnley,0,0,D
Cardiff,Newcastle,0,0,D
Chelsea,Arsenal,3,2,H
Everton,Southampton,2,1,H
Leicester,Wolves,2,0,H
Tottenham,Fulham,3,1,H
West Ham,Bournemouth,1,2,A
Brighton,Man United,3,2,H
Burnley,Watford,1,3,A
Man City,Huddersfield,6,1,H
Crystal Palace,Liverpool,0,2,A
Arsenal,West Ham,3,1,H
Bournemouth,Everton,2,2,D
Huddersfield,Cardiff,0,0,D
Liverpool,Brighton,1,0,H
Southampton,Leicester,1,2,A
Wolves,Man City,1,1,D
Fulham,Burnley,4,2,H
Newcastle,Chelsea,1,2,A
Watford,Crystal Palace,2,1,H
Man United,Tottenham,0,3,A
Brighton,Fulham,2,2,D
Chelsea,Bournemouth,2,0,H
Crystal Palace,Southampton,0,2,A
Everton,Huddersfield,1,1,D
Leicester,Liverpool,1,2,A
Man City,Newcastle,2,1,H
West Ham,Wolves,0,1,A
Burnley,Man United,0,2,A
Cardiff,Arsenal,2,3,A
Watford,Tottenham,2,1,H
Bournemouth,Leicester,4,2,H
Chelsea,Cardiff,4,1,H
Huddersfield,Crystal Palace,0,1,A
Man City,Fulham,3,0,H
Newcastle,Arsenal,1,2,A
Tottenham,Liverpool,1,2,A
Watford,Man United,1,2,A
Everton,West Ham,1,3,A
Wolves,Burnley,1,0,H
Southampton,Brighton,2,2,D
Brighton,Tottenham,1,2,A
Burnley,Bournemouth,4,0,H
Cardiff,Man City,0,5,A
Crystal Palace,Newcastle,0,0,D
Fulham,Watford,1,1,D
Leicester,Huddersfield,3,1,H
Liverpool,Southampton,3,0,H
Man United,Wolves,1,1,D
Arsenal,Everton,2,0,H
West Ham,Chelsea,0,0,D
Arsenal,Watford,2,0,H
Chelsea,Liverpool,1,1,D
Everton,Fulham,3,0,H
Huddersfield,Tottenham,0,2,A
Man City,Brighton,2,0,H
Newcastle,Leicester,0,2,A
West Ham,Man United,3,1,H
Wolves,Southampton,2,0,H
Cardiff,Burnley,1,2,A
Bournemouth,Crystal Palace,2,1,H
Brighton,West Ham,1,0,H
Burnley,Huddersfield,1,1,D
Crystal Palace,Wolves,0,1,A
Leicester,Everton,1,2,A
Man United,Newcastle,3,2,H
Tottenham,Cardiff,1,0,H
Watford,Bournemouth,0,4,A
Fulham,Arsenal,1,5,A
Liverpool,Man City,0,0,D
Southampton,Chelsea,0,3,A
Bournemouth,Southampton,0,0,D
Cardiff,Fulham,4,2,H
Chelsea,Man United,2,2,D
Huddersfield,Liverpool,0,1,A
Man City,Burnley,5,0,H
Newcastle,Brighton,0,1,A
West Ham,Tottenham,0,1,A
Wolves,Watford,0,2,A
Everton,Crystal Palace,2,0,H
Arsenal,Leicester,3,1,H
Brighton,Wolves,1,0,H
Fulham,Bournemouth,0,3,A
Leicester,West Ham,1,1,D
Liverpool,Cardiff,4,1,H
Southampton,Newcastle,0,0,D
Watford,Huddersfield,3,0,H
Burnley,Chelsea,0,4,A
Crystal Palace,Arsenal,2,2,D
Man United,Everton,2,1,H
Tottenham,Man City,0,1,A
Arsenal,Liverpool,1,1,D
Bournemouth,Man United,1,2,A
Cardiff,Leicester,0,1,A
Everton,Brighton,3,1,H
Newcastle,Watford,1,0,H
West Ham,Burnley,4,2,H
Wolves,Tottenham,2,3,A
Chelsea,Crystal Palace,3,1,H
Man City,Southampton,6,1,H
Huddersfield,Fulham,1,0,H
Cardiff,Brighton,2,1,H
Crystal Palace,Tottenham,0,1,A
Huddersfield,West Ham,1,1,D
Leicester,Burnley,0,0,D
Newcastle,Bournemouth,2,1,H
Southampton,Watford,1,1,D
Arsenal,Wolves,1,1,D
Chelsea,Everton,0,0,D
Liverpool,Fulham,2,0,H
Man City,Man United,3,1,H
Brighton,Leicester,1,1,D
Everton,Cardiff,1,0,H
Fulham,Southampton,3,2,H
Man United,Crystal Palace,0,0,D
Tottenham,Chelsea,3,1,H
Watford,Liverpool,0,3,A
West Ham,Man City,0,4,A
Bournemouth,Arsenal,1,2,A
Wolves,Huddersfield,0,2,A
Burnley,Newcastle,1,2,A
Cardiff,Wolves,2,1,H
Crystal Palace,Burnley,2,0,H
Huddersfield,Brighton,1,2,A
Leicester,Watford,2,0,H
Man City,Bournemouth,3,1,H
Newcastle,West Ham,0,3,A
Southampton,Man United,2,2,D
Arsenal,Tottenham,4,2,H
Chelsea,Fulham,2,0,H
Liverpool,Everton,1,0,H
Bournemouth,Huddersfield,2,1,H
Brighton,Crystal Palace,3,1,H
Watford,Man City,1,2,A
West Ham,Cardiff,3,1,H
Burnley,Liverpool,1,3,A
Everton,Newcastle,1,1,D
Fulham,Leicester,1,1,D
Man United,Arsenal,2,2,D
Tottenham,Southampton,3,1,H
Wolves,Chelsea,2,1,H
Arsenal,Huddersfield,1,0,H
Bournemouth,Liverpool,0,4,A
Burnley,Brighton,1,0,H
Cardiff,Southampton,1,0,H
Chelsea,Man City,2,0,H
Leicester,Tottenham,0,2,A
Man United,Fulham,4,1,H
West Ham,Crystal Palace,3,2,H
Newcastle,Wolves,1,2,A
Everton,Watford,2,2,D
Crystal Palace,Leicester,1,0,H
Fulham,West Ham,0,2,A
Huddersfield,Newcastle,0,1,A
Man City,Everton,3,1,H
Tottenham,Burnley,1,0,H
Watford,Cardiff,3,2,H
Wolves,Bournemouth,2,0,H
Brighton,Chelsea,1,2,A
Liverpool,Man United,3,1,H
Southampton,Arsenal,3,2,H
Wolves,Liverpool,0,2,A
Arsenal,Burnley,3,1,H
Bournemouth,Brighton,2,0,H
Cardiff,Man United,1,5,A
Chelsea,Leicester,0,1,A
Huddersfield,Southampton,1,3,A
Man City,Crystal Palace,2,3,A
Newcastle,Fulham,0,0,D
West Ham,Watford,0,2,A
Everton,Tottenham,2,6,A
Brighton,Arsenal,1,1,D
Burnley,Everton,1,5,A
Crystal Palace,Cardiff,0,0,D
Fulham,Wolves,1,1,D
Leicester,Man City,2,1,H
Liverpool,Newcastle,4,0,H
Man United,Huddersfield,3,1,H
Tottenham,Bournemouth,5,0,H
Watford,Chelsea,1,2,A
Southampton,West Ham,1,2,A
Brighton,Everton,1,0,H
Fulham,Huddersfield,1,0,H
Leicester,Cardiff,0,1,A
Liverpool,Arsenal,5,1,H
Tottenham,Wolves,1,3,A
Watford,Newcastle,1,1,D
Burnley,West Ham,2,0,H
Crystal Palace,Chelsea,0,1,A
Man United,Bournemouth,4,1,H
Southampton,Man City,1,3,A
Arsenal,Fulham,4,1,H
Cardiff,Tottenham,0,3,A
Everton,Leicester,0,1,A
Bournemouth,Watford,3,3,D
Chelsea,Southampton,0,0,D
Huddersfield,Burnley,1,2,A
Newcastle,Man United,0,2,A
West Ham,Brighton,2,2,D
Wolves,Crystal Palace,0,2,A
Man City,Liverpool,2,1,H
Brighton,Liverpool,0,1,A
Burnley,Fulham,2,1,H
Cardiff,Huddersfield,0,0,D
Chelsea,Newcastle,2,1,H
Crystal Palace,Watford,1,2,A
Leicester,Southampton,1,2,A
West Ham,Arsenal,1,0,H
Everton,Bournemouth,2,0,H
Tottenham,Man United,0,1,A
Man City,Wolves,3,0,H
Arsenal,Chelsea,2,0,H
Bournemouth,West Ham,2,0,H
Liverpool,Crystal Palace,4,3,H
Man United,Brighton,2,1,H
Newcastle,Cardiff,3,0,H
Southampton,Everton,2,1,H
Watford,Burnley,0,0,D
Wolves,Leicester,4,3,H
Fulham,Tottenham,1,2,A
Huddersfield,Man City,0,3,A
Arsenal,Cardiff,2,1,H
Fulham,Brighton,4,2,H
Huddersfield,Everton,0,1,A
Man United,Burnley,2,2,D
Newcastle,Man City,2,1,H
Wolves,West Ham,3,0,H
Bournemouth,Chelsea,4,0,H
Liverpool,Leicester,1,1,D
Southampton,Crystal Palace,1,1,D
Tottenham,Watford,2,1,H
Brighton,Watford,0,0,D
Burnley,Southampton,1,1,D
Cardiff,Bournemouth,2,0,H
Chelsea,Huddersfield,5,0,H
Crystal Palace,Fulham,2,0,H
Everton,Wolves,1,3,A
Tottenham,Newcastle,1,0,H
Leicester,Man United,0,1,A
Man City,Arsenal,3,1,H
West Ham,Liverpool,1,1,D
Everton,Man City,0,2,A
Brighton,Burnley,1,3,A
Crystal Palace,West Ham,1,1,D
Fulham,Man United,0,3,A
Huddersfield,Arsenal,1,2,A
Liverpool,Bournemouth,3,0,H
Southampton,Cardiff,1,2,A
Watford,Everton,1,0,H
Man City,Chelsea,6,0,H
Tottenham,Leicester,3,1,H
Wolves,Newcastle,1,1,D
Cardiff,Watford,1,5,A
West Ham,Fulham,3,1,H
Bournemouth,Wolves,1,1,D
Burnley,Tottenham,2,1,H
Leicester,Crystal Palace,1,4,A
Newcastle,Huddersfield,2,0,H
Arsenal,Southampton,2,0,H
Man United,Liverpool,0,0,D
Cardiff,Everton,0,3,A
Huddersfield,Wolves,1,0,H
Leicester,Brighton,2,1,H
Newcastle,Burnley,2,0,H
Arsenal,Bournemouth,5,1,H
Chelsea,Tottenham,2,0,H
Crystal Palace,Man United,1,3,A
Liverpool,Watford,5,0,H
Man City,West Ham,1,0,H
Southampton,Fulham,2,0,H
Bournemouth,Man City,0,1,A
Brighton,Huddersfield,1,0,H
Burnley,Crystal Palace,1,3,A
Man United,Southampton,3,2,H
Tottenham,Arsenal,1,1,D
West Ham,Newcastle,2,0,H
Wolves,Cardiff,2,0,H
Everton,Liverpool,0,0,D
Fulham,Chelsea,1,2,A
Watford,Leicester,2,1,H
Cardiff,West Ham,2,0,H
Crystal Palace,Brighton,1,2,A
Huddersfield,Bournemouth,0,2,A
Leicester,Fulham,3,1,H
Man City,Watford,3,1,H
Newcastle,Everton,3,2,H
Southampton,Tottenham,2,1,H
Arsenal,Man United,2,0,H
Chelsea,Wolves,1,1,D
Liverpool,Burnley,4,2,H
Bournemouth,Newcastle,2,2,D
Burnley,Leicester,1,2,A
West Ham,Huddersfield,4,3,H
Everton,Chelsea,2,0,H
Fulham,Liverpool,1,2,A
Brighton,Southampton,0,1,A
Burnley,Wolves,2,0,H
Crystal Palace,Huddersfield,2,0,H
Fulham,Man City,0,2,A
Leicester,Bournemouth,2,0,H
Man United,Watford,2,1,H
West Ham,Everton,0,2,A
Cardiff,Chelsea,1,2,A
Liverpool,Tottenham,2,1,H
Arsenal,Newcastle,2,0,H
Watford,Fulham,4,1,H
Wolves,Man United,2,1,H
Chelsea,Brighton,3,0,H
Man City,Cardiff,2,0,H
Tottenham,Crystal Palace,2,0,H
Southampton,Liverpool,1,3,A
Bournemouth,Burnley,1,3,A
Huddersfield,Leicester,1,4,A
Newcastle,Crystal Palace,0,1,A
Everton,Arsenal,1,0,H
Chelsea,West Ham,2,0,H
Leicester,Newcastle,0,1,A
Brighton,Bournemouth,0,5,A
Burnley,Cardiff,2,0,H
Fulham,Everton,2,0,H
Man United,West Ham,2,1,H
Southampton,Wolves,3,1,H
Tottenham,Huddersfield,4,0,H
Crystal Palace,Man City,1,3,A
Liverpool,Chelsea,2,0,H
Watford,Arsenal,0,1,A
Brighton,Cardiff,0,2,A
Bournemouth,Fulham,0,1,A
Huddersfield,Watford,1,2,A
Man City,Tottenham,1,0,H
Newcastle,Southampton,3,1,H
West Ham,Leicester,2,2,D
Wolves,Brighton,0,0,D
Arsenal,Crystal Palace,2,3,A
Cardiff,Liverpool,0,2,A
Everton,Man United,4,0,H
Chelsea,Burnley,2,2,D
Tottenham,Brighton,1,0,H
Watford,Southampton,1,1,D
Man United,Man City,0,2,A
Wolves,Arsenal,3,1,H
Liverpool,Huddersfield,5,0,H
Brighton,Newcastle,1,1,D
Crystal Palace,Everton,0,0,D
Fulham,Cardiff,1,0,H
Southampton,Bournemouth,3,3,D
Tottenham,West Ham,0,1,A
Watford,Wolves,1,2,A
Burnley,Man City,0,1,A
Leicester,Arsenal,3,0,H
Man United,Chelsea,1,1,D
Everton,Burnley,2,0,H
Bournemouth,Tottenham,1,0,H
Cardiff,Crystal Palace,2,3,A
Newcastle,Liverpool,2,3,A
West Ham,Southampton,3,0,H
Wolves,Fulham,1,0,H
Arsenal,Brighton,1,1,D
Chelsea,Watford,3,0,H
Huddersfield,Man United,1,1,D
Man City,Leicester,1,0,H
Brighton,Man City,1,4,A
Burnley,Arsenal,1,3,A
Crystal Palace,Bournemouth,5,3,H
Fulham,Newcastle,0,4,A
Leicester,Chelsea,0,0,D
Liverpool,Wolves,2,0,H
Man United,Cardiff,0,2,A
Southampton,Huddersfield,1,1,D
Tottenham,Everton,2,2,D
Watford,West Ham,1,4,A
